domain,path,chars,bytes,words,lines
oulunpalju.fi,scraped/oulunpalju.fi.txt,48,48,9,1
oulunpalokatko.fi,scraped/oulunpalokatko.fi.txt,559,569,55,13
oulunpantti.net,scraped/oulunpantti.net.txt,2983,3076,363,44
oulunpiharakennus.fi,scraped/oulunpiharakennus.fi.txt,1322,1359,140,10
oulunporakaivot.fi,scraped/oulunporakaivot.fi.txt,936,966,93,10
oulunporrastalo.fi,scraped/oulunporrastalo.fi.txt,883,906,97,12
oulunputkisepat.fi,scraped/oulunputkisepat.fi.txt,2443,2509,259,30
oulunrakrem.fi,scraped/oulunrakrem.fi.txt,2236,2311,245,25
oulunremonttipiste.fi,scraped/oulunremonttipiste.fi.txt,1897,1985,214,18
oulunrkpalvelu.fi,scraped/oulunrkpalvelu.fi.txt,533,551,56,5
oulunromu.fi,scraped/oulunromu.fi.txt,323,332,34,4
oulunsalolittledragon.fi,scraped/oulunsalolittledragon.fi.txt,6,6,1,1
oulunsalonapteekki.fi,scraped/oulunsalonapteekki.fi.txt,139,143,19,6
oulunsalonkiinteistohuolto.fi,scraped/oulunsalonkiinteistohuolto.fi.txt,896,929,90,8
oulunsalonvasama.fi,scraped/oulunsalonvasama.fi.txt,1687,1780,196,19
oulunseudunnakokulma.fi,scraped/oulunseudunnakokulma.fi.txt,1382,1448,155,37
oulunseurakunnat.fi,scraped/oulunseurakunnat.fi.txt,2315,2390,271,33
oulunsisakatot.fi,scraped/oulunsisakatot.fi.txt,51,51,8,1
oulunsohvasankykauppa.fi,scraped/oulunsohvasankykauppa.fi.txt,1084,1112,141,23
oulunsydankeskus.fi,scraped/oulunsydankeskus.fi.txt,332,350,41,2
ouluntarmo.fi,scraped/ouluntarmo.fi.txt,1129,1154,218,112
ouluntelescan.com,scraped/ouluntelescan.com.txt,51,51,8,1
ouluntienautohuolto.fi,scraped/ouluntienautohuolto.fi.txt,2577,2668,304,39
ouluntoimistolaitteet.com,scraped/ouluntoimistolaitteet.com.txt,51,51,8,1
ouluntoimitila.fi,scraped/ouluntoimitila.fi.txt,169,184,12,1
ouluntyostokeskus.com,scraped/ouluntyostokeskus.com.txt,238,242,31,5
oulunultra.fi,scraped/oulunultra.fi.txt,2471,2602,268,42
oulunyritysparkki.fi,scraped/oulunyritysparkki.fi.txt,51,51,8,1
ouluoffice.fi,scraped/ouluoffice.fi.txt,51,51,8,1
ouluoriginal.fi,scraped/ouluoriginal.fi.txt,1796,1857,200,29
ouluport.com,scraped/ouluport.com.txt,274,288,29,8
oulusafaris.com,scraped/oulusafaris.com.txt,1314,1367,132,9
oun.fi,scraped/oun.fi.txt,3140,3274,394,35
ounas.fi,scraped/ounas.fi.txt,1512,1602,171,14
ounaskoski-camping-rovaniemi.com,scraped/ounaskoski-camping-rovaniemi.com.txt,1418,1478,162,15
ounasloma.fi,scraped/ounasloma.fi.txt,1009,1058,115,3
ounasvaara.fi,scraped/ounasvaara.fi.txt,21298,21659,2157,90
ounevagroup.fi,scraped/ounevagroup.fi.txt,112,121,16,3
ouous.fi,scraped/ouous.fi.txt,2532,2632,256,25
ouplan.fi,scraped/ouplan.fi.txt,466,466,72,4
ouragency.io,scraped/ouragency.io.txt,3348,3359,473,17
ouraniorecordings.com,scraped/ouraniorecordings.com.txt,74,74,12,4
ouraring.com,scraped/ouraring.com.txt,1141,1207,148,36
ourex.fi,scraped/ourex.fi.txt,196,210,24,7
ourmind.fi,scraped/ourmind.fi.txt,1555,1555,322,91
ouro.fi,scraped/ouro.fi.txt,4149,4305,465,68
outacon.fi,scraped/outacon.fi.txt,51,51,8,1
outacreative.fi,scraped/outacreative.fi.txt,979,1011,105,11
outara.fi,scraped/outara.fi.txt,1030,1086,134,17
outbackwrap.com,scraped/outbackwrap.com.txt,1094,1100,167,18
outdoor.fit,scraped/outdoor.fit.txt,139,139,27,5
outdoorartisans.fi,scraped/outdoorartisans.fi.txt,1783,1789,273,21
outdoorexpert.fi,scraped/outdoorexpert.fi.txt,76,78,10,3
outdoormedia.fi,scraped/outdoormedia.fi.txt,1687,1720,173,26
outdoorpassion.fi,scraped/outdoorpassion.fi.txt,51,51,8,1
outdoorpoint.com,scraped/outdoorpoint.com.txt,99,99,3,2
outdoorsoulu.fi,scraped/outdoorsoulu.fi.txt,51,51,8,1
outeko.fi,scraped/outeko.fi.txt,51,51,8,1
outilespyy.com,scraped/outilespyy.com.txt,1110,1110,193,16
outimaenpaa.fi,scraped/outimaenpaa.fi.txt,2303,2399,255,15
outinlounasbuffet.fi,scraped/outinlounasbuffet.fi.txt,918,958,111,17
outlinestudios.org,scraped/outlinestudios.org.txt,108,108,21,3
outloud.fi,scraped/outloud.fi.txt,51,51,8,1
outnetstore.fi,scraped/outnetstore.fi.txt,66,66,12,3
outo.fi,scraped/outo.fi.txt,111,118,13,4
outokummunenergia.fi,scraped/outokummunenergia.fi.txt,1603,1671,171,40
outokummunmetalli.fi,scraped/outokummunmetalli.fi.txt,519,543,50,9
outoplan.fi,scraped/outoplan.fi.txt,2839,2923,289,18
outotec.com,scraped/outotec.com.txt,1669,1677,238,10
outpost.social,scraped/outpost.social.txt,101,101,3,2
outshine.fi,scraped/outshine.fi.txt,3805,3927,428,30
outsourceit.fi,scraped/outsourceit.fi.txt,346,360,42,5
ovacon.fi,scraped/ovacon.fi.txt,51,51,8,1
oval.fi,scraped/oval.fi.txt,96,96,19,2
ovalcompany.fi,scraped/ovalcompany.fi.txt,1872,1935,195,19
ovaskainenconsulting.fi,scraped/ovaskainenconsulting.fi.txt,1230,1277,131,6
ovauto.fi,scraped/ovauto.fi.txt,51,51,8,1
ovela.io,scraped/ovela.io.txt,971,971,157,8
ovella.fi,scraped/ovella.fi.txt,510,534,49,2
ovenia.fi,scraped/ovenia.fi.txt,29053,29888,3311,245
overmarkbnb.fi,scraped/overmarkbnb.fi.txt,1344,1351,235,7
overscalesolutions.com,scraped/overscalesolutions.com.txt,1580,1611,218,6
overseas-freight.fi,scraped/overseas-freight.fi.txt,51,51,8,1
overtech.fi,scraped/overtech.fi.txt,525,542,55,4
oviasennus.fi,scraped/oviasennus.fi.txt,51,51,8,1
ovien.fi,scraped/ovien.fi.txt,49,51,6,1
ovienvaihto.fi,scraped/ovienvaihto.fi.txt,51,51,8,1
ovihollola.fi,scraped/ovihollola.fi.txt,1669,1711,170,38
oviko.fi,scraped/oviko.fi.txt,1322,1372,145,26
ovikone.fi,scraped/ovikone.fi.txt,88,90,13,2
ovikotiin.com,scraped/ovikotiin.com.txt,278,294,30,3
ovio.fi,scraped/ovio.fi.txt,51,51,8,1
ovipaja.fi,scraped/ovipaja.fi.txt,1848,1896,215,10
ovitaikurit.fi,scraped/ovitaikurit.fi.txt,51,51,8,1
ovitek.com,scraped/ovitek.com.txt,28,29,2,1
ovitohtori.fi,scraped/ovitohtori.fi.txt,508,524,54,10
ovoro.com,scraped/ovoro.com.txt,677,677,102,9
ovv.com,scraped/ovv.com.txt,69,72,7,3
owalgroup.com,scraped/owalgroup.com.txt,608,639,70,8
owatec.fi,scraped/owatec.fi.txt,3477,3612,339,31
ownreg.fi,scraped/ownreg.fi.txt,1456,1507,165,16
ownwell.fi,scraped/ownwell.fi.txt,645,649,94,20
ox2.ax,scraped/ox2.ax.txt,1200,1251,176,14
ox2.com,scraped/ox2.com.txt,1064,1066,171,14
oxid.fi,scraped/oxid.fi.txt,51,51,8,1
oxline.fi,scraped/oxline.fi.txt,255,261,28,2
oxygenclinic.fi,scraped/oxygenclinic.fi.txt,1172,1220,129,23
oxygoal.com,scraped/oxygoal.com.txt,1073,1100,109,14
oyab.co,scraped/oyab.co.txt,166,166,20,2
oyjvvtekniikka.fi,scraped/oyjvvtekniikka.fi.txt,51,51,8,1
oylakivainio.fi,scraped/oylakivainio.fi.txt,2423,2495,278,25
oysti.fi,scraped/oysti.fi.txt,182,182,28,3
oytatco.com,scraped/oytatco.com.txt,242,244,35,3
ozakisushi.fi,scraped/ozakisushi.fi.txt,157,172,13,2
ozo.fi,scraped/ozo.fi.txt,1485,1533,167,31
oztek.fi,scraped/oztek.fi.txt,51,51,8,1
p-met.fi,scraped/p-met.fi.txt,23,23,4,2
p-parkki.net,scraped/p-parkki.net.txt,546,563,55,15
p11.co,scraped/p11.co.txt,5853,5869,859,98
p2engineering.fi,scraped/p2engineering.fi.txt,51,51,8,1
p2x.fi,scraped/p2x.fi.txt,287,296,27,2
p3nsionbook.com,scraped/p3nsionbook.com.txt,3804,3804,626,30
p4p.fi,scraped/p4p.fi.txt,622,646,64,3
p__asemaoy.fi,scraped/p__asemaoy.fi.txt,459,474,47,5
p__ovi.fi,scraped/p__ovi.fi.txt,1103,1151,113,10
p_hkin_hoito.fi,scraped/p_hkin_hoito.fi.txt,51,51,8,1
p_iv_rinne.fi,scraped/p_iv_rinne.fi.txt,4649,4856,483,18
p_k_rehu.fi,scraped/p_k_rehu.fi.txt,51,51,8,1
pa-la.fi,scraped/pa-la.fi.txt,1098,1153,128,7
paahtimopapu.fi,scraped/paahtimopapu.fi.txt,742,777,85,10
paahtu.fi,scraped/paahtu.fi.txt,1972,2126,233,34
paajahanta.fi,scraped/paajahanta.fi.txt,51,51,8,1
paajala.fi,scraped/paajala.fi.txt,1708,1764,180,32
paajanen.xyz,scraped/paajanen.xyz.txt,51,51,8,1
paajes.fi,scraped/paajes.fi.txt,904,908,129,15
